ID,English,Spanish,Catalan,Portuguese,Italian,French,German,Russian,ChineseTraditional,Korean,Japanese
DSC_AbudefdufLorenzi,The males of this species take care of the egg-laying. Some reef species construct nests where they can look after their eggs and defend them aggressively.,Los machos de esta especie cuidan la puesta de huevos. Algunas de las especies de arrecife construyen nidos para poder cuidar las puestas y defienden los huevos con mucha agresividad.,The males of this species take care of the egg-laying. Some reef species construct nests where they can look after their eggs and defend them aggressively.,The males of this species take care of the egg-laying. Some reef species construct nests where they can look after their eggs and defend them aggressively.,The males of this species take care of the egg-laying. Some reef species construct nests where they can look after their eggs and defend them aggressively.,The males of this species take care of the egg-laying. Some reef species construct nests where they can look after their eggs and defend them aggressively.,The males of this species take care of the egg-laying. Some reef species construct nests where they can look after their eggs and defend them aggressively.,The males of this species take care of the egg-laying. Some reef species construct nests where they can look after their eggs and defend them aggressively.,The males of this species take care of the egg-laying. Some reef species construct nests where they can look after their eggs and defend them aggressively.,The males of this species take care of the egg-laying. Some reef species construct nests where they can look after their eggs and defend them aggressively.,The males of this species take care of the egg-laying. Some reef species construct nests where they can look after their eggs and defend them aggressively.
DSC_AbudefdufNotatus,This group is one of the most widespread groups of fish in coral reefs. More than 370 different species of damselfish exist and 90% of those live in reefs in the Western Indo-Pacific.,Este grupo es uno de los grupos de peces más extensos de los arrecifes de coral. Existen más de 370 especies diferentes de damiselas y el 90% viven en los arrecifes del Indo-Pacífico Occidental.,This group is one of the most widespread groups of fish in coral reefs. More than 370 different species of damselfish exist and 90% of those live in reefs in the Western Indo-Pacific.,This group is one of the most widespread groups of fish in coral reefs. More than 370 different species of damselfish exist and 90% of those live in reefs in the Western Indo-Pacific.,This group is one of the most widespread groups of fish in coral reefs. More than 370 different species of damselfish exist and 90% of those live in reefs in the Western Indo-Pacific.,This group is one of the most widespread groups of fish in coral reefs. More than 370 different species of damselfish exist and 90% of those live in reefs in the Western Indo-Pacific.,This group is one of the most widespread groups of fish in coral reefs. More than 370 different species of damselfish exist and 90% of those live in reefs in the Western Indo-Pacific.,This group is one of the most widespread groups of fish in coral reefs. More than 370 different species of damselfish exist and 90% of those live in reefs in the Western Indo-Pacific.,This group is one of the most widespread groups of fish in coral reefs. More than 370 different species of damselfish exist and 90% of those live in reefs in the Western Indo-Pacific.,This group is one of the most widespread groups of fish in coral reefs. More than 370 different species of damselfish exist and 90% of those live in reefs in the Western Indo-Pacific.,This group is one of the most widespread groups of fish in coral reefs. More than 370 different species of damselfish exist and 90% of those live in reefs in the Western Indo-Pacific.
DSC_AcanthopagrusBifasciatus,"Did you know that more than 2 million species on Earth have been recorded? Even still, it is estimated that the real number of species is much greater and this number could be multiplied by ten as each year at least 20,000 new species are discovered.","¿Sabías que se han descrito más de 2 millones de especies en la Tierra? Aún así se estima que el número de especies reales es mucho mayor y se podría multiplicar por diez esta cifra, ya que cada año se describen al menos 20.000 especies nuevas.","Did you know that more than 2 million species on Earth have been recorded? Even still, it is estimated that the real number of species is much greater and this number could be multiplied by ten as each year at least 20,000 new species are discovered.","Did you know that more than 2 million species on Earth have been recorded? Even still, it is estimated that the real number of species is much greater and this number could be multiplied by ten as each year at least 20,000 new species are discovered.","Did you know that more than 2 million species on Earth have been recorded? Even still, it is estimated that the real number of species is much greater and this number could be multiplied by ten as each year at least 20,000 new species are discovered.","Did you know that more than 2 million species on Earth have been recorded? Even still, it is estimated that the real number of species is much greater and this number could be multiplied by ten as each year at least 20,000 new species are discovered.","Did you know that more than 2 million species on Earth have been recorded? Even still, it is estimated that the real number of species is much greater and this number could be multiplied by ten as each year at least 20,000 new species are discovered.","Did you know that more than 2 million species on Earth have been recorded? Even still, it is estimated that the real number of species is much greater and this number could be multiplied by ten as each year at least 20,000 new species are discovered.","Did you know that more than 2 million species on Earth have been recorded? Even still, it is estimated that the real number of species is much greater and this number could be multiplied by ten as each year at least 20,000 new species are discovered.","Did you know that more than 2 million species on Earth have been recorded? Even still, it is estimated that the real number of species is much greater and this number could be multiplied by ten as each year at least 20,000 new species are discovered.","Did you know that more than 2 million species on Earth have been recorded? Even still, it is estimated that the real number of species is much greater and this number could be multiplied by ten as each year at least 20,000 new species are discovered."
DSC_AcanthurusAchilles,"This fish is generally solitary and aggressive with fish from its species and other fish in its family. When seaweed is scarce in its territory, it forms large shoals and invades the territories of other fish in order to eat their seaweed.","Generalmente solitario y agresivo con los peces de su especie y con otros peces des su misma familia. Cuando las algas escasean en su territorio, forma grandes bancos de peces e invaden los territorios de otros peces, para poder comerse sus algas.","This fish is generally solitary and aggressive with fish from its species and other fish in its family. When seaweed is scarce in its territory, it forms large shoals and invades the territories of other fish in order to eat their seaweed.","This fish is generally solitary and aggressive with fish from its species and other fish in its family. When seaweed is scarce in its territory, it forms large shoals and invades the territories of other fish in order to eat their seaweed.","This fish is generally solitary and aggressive with fish from its species and other fish in its family. When seaweed is scarce in its territory, it forms large shoals and invades the territories of other fish in order to eat their seaweed.","This fish is generally solitary and aggressive with fish from its species and other fish in its family. When seaweed is scarce in its territory, it forms large shoals and invades the territories of other fish in order to eat their seaweed.","This fish is generally solitary and aggressive with fish from its species and other fish in its family. When seaweed is scarce in its territory, it forms large shoals and invades the territories of other fish in order to eat their seaweed.","This fish is generally solitary and aggressive with fish from its species and other fish in its family. When seaweed is scarce in its territory, it forms large shoals and invades the territories of other fish in order to eat their seaweed.","This fish is generally solitary and aggressive with fish from its species and other fish in its family. When seaweed is scarce in its territory, it forms large shoals and invades the territories of other fish in order to eat their seaweed.","This fish is generally solitary and aggressive with fish from its species and other fish in its family. When seaweed is scarce in its territory, it forms large shoals and invades the territories of other fish in order to eat their seaweed.","This fish is generally solitary and aggressive with fish from its species and other fish in its family. When seaweed is scarce in its territory, it forms large shoals and invades the territories of other fish in order to eat their seaweed."
DSC_AcanthurusGuttatus,"The rear half of its body is covered in numerous white spots surrounded by dark patches, imitating air bubbles caused by the swell of the waves. This allows it to go unnoticed by possible predators.",La mitad posterior de su cuerpo está cubierta de numerosos puntos blancos rodeados de oscuro que imitan las burbujas de aire provocadas por el oleaje. Esto les permite pasar desapercibidos ante sus posibles depredadores.,"The rear half of its body is covered in numerous white spots surrounded by dark patches, imitating air bubbles caused by the swell of the waves. This allows it to go unnoticed by possible predators.","The rear half of its body is covered in numerous white spots surrounded by dark patches, imitating air bubbles caused by the swell of the waves. This allows it to go unnoticed by possible predators.","The rear half of its body is covered in numerous white spots surrounded by dark patches, imitating air bubbles caused by the swell of the waves. This allows it to go unnoticed by possible predators.","The rear half of its body is covered in numerous white spots surrounded by dark patches, imitating air bubbles caused by the swell of the waves. This allows it to go unnoticed by possible predators.","The rear half of its body is covered in numerous white spots surrounded by dark patches, imitating air bubbles caused by the swell of the waves. This allows it to go unnoticed by possible predators.","The rear half of its body is covered in numerous white spots surrounded by dark patches, imitating air bubbles caused by the swell of the waves. This allows it to go unnoticed by possible predators.","The rear half of its body is covered in numerous white spots surrounded by dark patches, imitating air bubbles caused by the swell of the waves. This allows it to go unnoticed by possible predators.","The rear half of its body is covered in numerous white spots surrounded by dark patches, imitating air bubbles caused by the swell of the waves. This allows it to go unnoticed by possible predators.","The rear half of its body is covered in numerous white spots surrounded by dark patches, imitating air bubbles caused by the swell of the waves. This allows it to go unnoticed by possible predators."
DSC_AcanthurusJaponicus,The family Acanthuridae is a family of tropical marine fish that live among coral reefs. There are 83 species that pertain to this group of fish.,La familia de los Acanthuridae son una familia de peces marinos tropicales que viven entre arrecifes de coral. Existen 83 especies pertenecientes a este grupo de peces.,The family Acanthuridae is a family of tropical marine fish that live among coral reefs. There are 83 species that pertain to this group of fish.,The family Acanthuridae is a family of tropical marine fish that live among coral reefs. There are 83 species that pertain to this group of fish.,The family Acanthuridae is a family of tropical marine fish that live among coral reefs. There are 83 species that pertain to this group of fish.,The family Acanthuridae is a family of tropical marine fish that live among coral reefs. There are 83 species that pertain to this group of fish.,The family Acanthuridae is a family of tropical marine fish that live among coral reefs. There are 83 species that pertain to this group of fish.,The family Acanthuridae is a family of tropical marine fish that live among coral reefs. There are 83 species that pertain to this group of fish.,The family Acanthuridae is a family of tropical marine fish that live among coral reefs. There are 83 species that pertain to this group of fish.,The family Acanthuridae is a family of tropical marine fish that live among coral reefs. There are 83 species that pertain to this group of fish.,The family Acanthuridae is a family of tropical marine fish that live among coral reefs. There are 83 species that pertain to this group of fish.
DSC_AcanthurusLeucosternon,"The genus name, Acanthurus, stems from the Greek “akantha”, meaning thorn, and “ura”, meaning tail, due to the sharp spines it has on either side of its caudal peduncle. For this reason it is also known as the surgeonfish.","El nombre del género Acanthurus , viene del griego “akantha”, espina, y “ura” cola, por la espina córnea, afilada como una cuchilla, que tienen en ambos lados del pedúnculo caudal. Por la misma razón se les conoce también como peces cirujano.","The genus name, Acanthurus, stems from the Greek “akantha”, meaning thorn, and “ura”, meaning tail, due to the sharp spines it has on either side of its caudal peduncle. For this reason it is also known as the surgeonfish.","The genus name, Acanthurus, stems from the Greek “akantha”, meaning thorn, and “ura”, meaning tail, due to the sharp spines it has on either side of its caudal peduncle. For this reason it is also known as the surgeonfish.","The genus name, Acanthurus, stems from the Greek “akantha”, meaning thorn, and “ura”, meaning tail, due to the sharp spines it has on either side of its caudal peduncle. For this reason it is also known as the surgeonfish.","The genus name, Acanthurus, stems from the Greek “akantha”, meaning thorn, and “ura”, meaning tail, due to the sharp spines it has on either side of its caudal peduncle. For this reason it is also known as the surgeonfish.","The genus name, Acanthurus, stems from the Greek “akantha”, meaning thorn, and “ura”, meaning tail, due to the sharp spines it has on either side of its caudal peduncle. For this reason it is also known as the surgeonfish.","The genus name, Acanthurus, stems from the Greek “akantha”, meaning thorn, and “ura”, meaning tail, due to the sharp spines it has on either side of its caudal peduncle. For this reason it is also known as the surgeonfish.","The genus name, Acanthurus, stems from the Greek “akantha”, meaning thorn, and “ura”, meaning tail, due to the sharp spines it has on either side of its caudal peduncle. For this reason it is also known as the surgeonfish.","The genus name, Acanthurus, stems from the Greek “akantha”, meaning thorn, and “ura”, meaning tail, due to the sharp spines it has on either side of its caudal peduncle. For this reason it is also known as the surgeonfish.","The genus name, Acanthurus, stems from the Greek “akantha”, meaning thorn, and “ura”, meaning tail, due to the sharp spines it has on either side of its caudal peduncle. For this reason it is also known as the surgeonfish."
DSC_AcanthurusNigricans,"Acanthurus are herbivores that swim all day in small groups, feeding on thread algae and the film of microscopic algae and detritus that covers the depths of the reef. They contribute to the maintenance of reefs, preventing algae from growing on coral.","Los Acanthurus son peces herbívoros que nada durante todo el día, en pequeños grupos, alimentándose de algas filamentosas y de la película de algas microscópicas y detritus que recubren los fondos del arrecife. Contribuyen al mantenimiento de los arrecifes no dejando que las algas crezcan sobre los corales.","Acanthurus are herbivores that swim all day in small groups, feeding on thread algae and the film of microscopic algae and detritus that covers the depths of the reef. They contribute to the maintenance of reefs, preventing algae from growing on coral.","Acanthurus are herbivores that swim all day in small groups, feeding on thread algae and the film of microscopic algae and detritus that covers the depths of the reef. They contribute to the maintenance of reefs, preventing algae from growing on coral.","Acanthurus are herbivores that swim all day in small groups, feeding on thread algae and the film of microscopic algae and detritus that covers the depths of the reef. They contribute to the maintenance of reefs, preventing algae from growing on coral.","Acanthurus are herbivores that swim all day in small groups, feeding on thread algae and the film of microscopic algae and detritus that covers the depths of the reef. They contribute to the maintenance of reefs, preventing algae from growing on coral.","Acanthurus are herbivores that swim all day in small groups, feeding on thread algae and the film of microscopic algae and detritus that covers the depths of the reef. They contribute to the maintenance of reefs, preventing algae from growing on coral.","Acanthurus are herbivores that swim all day in small groups, feeding on thread algae and the film of microscopic algae and detritus that covers the depths of the reef. They contribute to the maintenance of reefs, preventing algae from growing on coral.","Acanthurus are herbivores that swim all day in small groups, feeding on thread algae and the film of microscopic algae and detritus that covers the depths of the reef. They contribute to the maintenance of reefs, preventing algae from growing on coral.","Acanthurus are herbivores that swim all day in small groups, feeding on thread algae and the film of microscopic algae and detritus that covers the depths of the reef. They contribute to the maintenance of reefs, preventing algae from growing on coral.","Acanthurus are herbivores that swim all day in small groups, feeding on thread algae and the film of microscopic algae and detritus that covers the depths of the reef. They contribute to the maintenance of reefs, preventing algae from growing on coral."
DSC_AcanthurusPyroferus,The juvenile fish imitate species such as the Centropyge Heraldi and Centropyge Flavissima for protection against predators and to facilitate their feeding. They make the most of their similarities with this species to feed in territories in which they otherwise could not eat due to competition for food with other species.,"Los juveniles mimetizan con especies como Centropyge Heraldi y Centropyge Flavissimus, para conseguir protección frente a los depredadores y facilitar su alimentación. Aprovechan su parecido con estas especies para alimentarse en territorios en los que no podría comer por la competencia por el alimento con las otras especies.",The juvenile fish imitate species such as the Centropyge Heraldi and Centropyge Flavissima for protection against predators and to facilitate their feeding. They make the most of their similarities with this species to feed in territories in which they otherwise could not eat due to competition for food with other species.,The juvenile fish imitate species such as the Centropyge Heraldi and Centropyge Flavissima for protection against predators and to facilitate their feeding. They make the most of their similarities with this species to feed in territories in which they otherwise could not eat due to competition for food with other species.,The juvenile fish imitate species such as the Centropyge Heraldi and Centropyge Flavissima for protection against predators and to facilitate their feeding. They make the most of their similarities with this species to feed in territories in which they otherwise could not eat due to competition for food with other species.,The juvenile fish imitate species such as the Centropyge Heraldi and Centropyge Flavissima for protection against predators and to facilitate their feeding. They make the most of their similarities with this species to feed in territories in which they otherwise could not eat due to competition for food with other species.,The juvenile fish imitate species such as the Centropyge Heraldi and Centropyge Flavissima for protection against predators and to facilitate their feeding. They make the most of their similarities with this species to feed in territories in which they otherwise could not eat due to competition for food with other species.,The juvenile fish imitate species such as the Centropyge Heraldi and Centropyge Flavissima for protection against predators and to facilitate their feeding. They make the most of their similarities with this species to feed in territories in which they otherwise could not eat due to competition for food with other species.,The juvenile fish imitate species such as the Centropyge Heraldi and Centropyge Flavissima for protection against predators and to facilitate their feeding. They make the most of their similarities with this species to feed in territories in which they otherwise could not eat due to competition for food with other species.,The juvenile fish imitate species such as the Centropyge Heraldi and Centropyge Flavissima for protection against predators and to facilitate their feeding. They make the most of their similarities with this species to feed in territories in which they otherwise could not eat due to competition for food with other species.,The juvenile fish imitate species such as the Centropyge Heraldi and Centropyge Flavissima for protection against predators and to facilitate their feeding. They make the most of their similarities with this species to feed in territories in which they otherwise could not eat due to competition for food with other species.
DSC_AcanthurusTennentii,"The caudal peduncle has a cutting, erect scalpel that is typical of the Acanthurus genus, but in this case it is highlighted by a black oval mark with an attractive blue border. This acts as a clear warning to its predators.","El pedúnculo caudal muestra el escalpelo cortante y eréctil, típico del género Acanthurus, pero en este caso resaltado por una mancha ovalada negra con un vistoso borde azul. Una clara advertencia para sus depredadores.","The caudal peduncle has a cutting, erect scalpel that is typical of the Acanthurus genus, but in this case it is highlighted by a black oval mark with an attractive blue border. This acts as a clear warning to its predators.","The caudal peduncle has a cutting, erect scalpel that is typical of the Acanthurus genus, but in this case it is highlighted by a black oval mark with an attractive blue border. This acts as a clear warning to its predators.","The caudal peduncle has a cutting, erect scalpel that is typical of the Acanthurus genus, but in this case it is highlighted by a black oval mark with an attractive blue border. This acts as a clear warning to its predators.","The caudal peduncle has a cutting, erect scalpel that is typical of the Acanthurus genus, but in this case it is highlighted by a black oval mark with an attractive blue border. This acts as a clear warning to its predators.","The caudal peduncle has a cutting, erect scalpel that is typical of the Acanthurus genus, but in this case it is highlighted by a black oval mark with an attractive blue border. This acts as a clear warning to its predators.","The caudal peduncle has a cutting, erect scalpel that is typical of the Acanthurus genus, but in this case it is highlighted by a black oval mark with an attractive blue border. This acts as a clear warning to its predators.","The caudal peduncle has a cutting, erect scalpel that is typical of the Acanthurus genus, but in this case it is highlighted by a black oval mark with an attractive blue border. This acts as a clear warning to its predators.","The caudal peduncle has a cutting, erect scalpel that is typical of the Acanthurus genus, but in this case it is highlighted by a black oval mark with an attractive blue border. This acts as a clear warning to its predators.","The caudal peduncle has a cutting, erect scalpel that is typical of the Acanthurus genus, but in this case it is highlighted by a black oval mark with an attractive blue border. This acts as a clear warning to its predators."
DSC_AcanthurusTriostegus,"Reproduction is subject to the regularity of the lunar cycle. It takes place at full moon and new moon. Large shoals of fish gather to spawn, creating clouds of eggs and sperm.","La reproducción está sometida a la periodicidad del ciclo lunar, se da durante la luna llena y nueva. Grandes bancos de peces se juntan para desovar creando nubes de huevos y esperma.","Reproduction is subject to the regularity of the lunar cycle. It takes place at full moon and new moon. Large shoals of fish gather to spawn, creating clouds of eggs and sperm.","Reproduction is subject to the regularity of the lunar cycle. It takes place at full moon and new moon. Large shoals of fish gather to spawn, creating clouds of eggs and sperm.","Reproduction is subject to the regularity of the lunar cycle. It takes place at full moon and new moon. Large shoals of fish gather to spawn, creating clouds of eggs and sperm.","Reproduction is subject to the regularity of the lunar cycle. It takes place at full moon and new moon. Large shoals of fish gather to spawn, creating clouds of eggs and sperm.","Reproduction is subject to the regularity of the lunar cycle. It takes place at full moon and new moon. Large shoals of fish gather to spawn, creating clouds of eggs and sperm.","Reproduction is subject to the regularity of the lunar cycle. It takes place at full moon and new moon. Large shoals of fish gather to spawn, creating clouds of eggs and sperm.","Reproduction is subject to the regularity of the lunar cycle. It takes place at full moon and new moon. Large shoals of fish gather to spawn, creating clouds of eggs and sperm.","Reproduction is subject to the regularity of the lunar cycle. It takes place at full moon and new moon. Large shoals of fish gather to spawn, creating clouds of eggs and sperm.","Reproduction is subject to the regularity of the lunar cycle. It takes place at full moon and new moon. Large shoals of fish gather to spawn, creating clouds of eggs and sperm."
