ID,English,Spanish,Catalan,Portuguese,Italian,French,German,Russian,ChineseTraditional,Korean,Japanese
AbudefdufLorenzi,Black-tail sergeant,Black-tail sergeant,Black-tail sergeant,Black-tail sergeant,Black-tail sergeant,Black-tail sergeant,Black-tail sergeant,Black-tail sergeant,Black-tail sergeant,Black-tail sergeant,Black-tail sergeant
AbudefdufNotatus,Yellowtail sergeant,Yellowtail sergeant,Yellowtail sergeant,Yellowtail sergeant,Yellowtail sergeant,Yellowtail sergeant,Yellowtail sergeant,Yellowtail sergeant,Yellowtail sergeant,Yellowtail sergeant,Yellowtail sergeant
AcanthopagrusBifasciatus,Twobar seabream,Twobar seabream,Twobar seabream,Twobar seabream,Twobar seabream,Twobar seabream,Twobar seabream,Twobar seabream,Twobar seabream,Twobar seabream,Twobar seabream
AcanthurusAchilles,Achilles tang,Achilles tang,Achilles tang,Achilles tang,Achilles tang,Achilles tang,Achilles tang,Achilles tang,Achilles tang,Achilles tang,Achilles tang
AcanthurusGuttatus,Whitespotted surgeonfish,Whitespotted surgeonfish,Whitespotted surgeonfish,Whitespotted surgeonfish,Whitespotted surgeonfish,Whitespotted surgeonfish,Whitespotted surgeonfish,Whitespotted surgeonfish,Whitespotted surgeonfish,Whitespotted surgeonfish,Whitespotted surgeonfish
AcanthurusJaponicus,Japan surgeonfish,Japan surgeonfish,Japan surgeonfish,Japan surgeonfish,Japan surgeonfish,Japan surgeonfish,Japan surgeonfish,Japan surgeonfish,Japan surgeonfish,Japan surgeonfish,Japan surgeonfish
AcanthurusLeucosternon,Powderblue surgeonfish,Powderblue surgeonfish,Powderblue surgeonfish,Powderblue surgeonfish,Powderblue surgeonfish,Powderblue surgeonfish,Powderblue surgeonfish,Powderblue surgeonfish,Powderblue surgeonfish,Powderblue surgeonfish,Powderblue surgeonfish
AcanthurusNigricans,Whitecheek surgeonfish,Whitecheek surgeonfish,Whitecheek surgeonfish,Whitecheek surgeonfish,Whitecheek surgeonfish,Whitecheek surgeonfish,Whitecheek surgeonfish,Whitecheek surgeonfish,Whitecheek surgeonfish,Whitecheek surgeonfish,Whitecheek surgeonfish
AcanthurusPyroferus,Chocolate surgeonfish,Chocolate surgeonfish,Chocolate surgeonfish,Chocolate surgeonfish,Chocolate surgeonfish,Chocolate surgeonfish,Chocolate surgeonfish,Chocolate surgeonfish,Chocolate surgeonfish,Chocolate surgeonfish,Chocolate surgeonfish
AcanthurusTennentii,Doubleband surgeonfish,Doubleband surgeonfish,Doubleband surgeonfish,Doubleband surgeonfish,Doubleband surgeonfish,Doubleband surgeonfish,Doubleband surgeonfish,Doubleband surgeonfish,Doubleband surgeonfish,Doubleband surgeonfish,Doubleband surgeonfish
AcanthurusTriostegus,Convict surgeonfish,Convict surgeonfish,Convict surgeonfish,Convict surgeonfish,Convict surgeonfish,Convict surgeonfish,Convict surgeonfish,Convict surgeonfish,Convict surgeonfish,Convict surgeonfish,Convict surgeonfish
AcanthurusTristis,Indian Ocean mimic surgeonfish,Indian Ocean mimic surgeonfish,Indian Ocean mimic surgeonfish,Indian Ocean mimic surgeonfish,Indian Ocean mimic surgeonfish,Indian Ocean mimic surgeonfish,Indian Ocean mimic surgeonfish,Indian Ocean mimic surgeonfish,Indian Ocean mimic surgeonfish,Indian Ocean mimic surgeonfish,Indian Ocean mimic surgeonfish
AmblyglyphidodonAureus,Golden damselfish,Golden damselfish,Golden damselfish,Golden damselfish,Golden damselfish,Golden damselfish,Golden damselfish,Golden damselfish,Golden damselfish,Golden damselfish,Golden damselfish
