ID,English,Spanish,Catalan,Portuguese,Italian,French,German,Russian,ChineseTraditional,Korean,Japanese
AtlanticOcean,Atlantic Ocean,Oceano Atlántico,Oceà Atlàntic,Atlantic Ocean,Atlantic Ocean,Atlantic Ocean,Atlantic Ocean,Атлантический океан,大西洋,대서양,大西洋
Bahamas,The Bahamas,Bahamas,Bahames,Bahamas,Bahamas,Bahamas,Bahamas,Багамские Острова,巴哈马,바하마,バハマ
BajaCalifornia,BajaCalifornia,BajaCalifornia,BajaCalifornia,BajaCalifornia,BajaCalifornia,BajaCalifornia,BajaCalifornia,Нижняя Калифорния,下加利福尼亞州,바하칼리포르니아 주,バハ・カリフォルニア州
Belize,Belize,Belice,Belize,Belize,Belize,Belize,Belize,Белиз,伯利兹,벨리즈,ベリーズ
Bermuda,Bermuda,Bermudas,Bermudes,Bermudas,Bermuda,Bermudes,Bermuda,Бермудские Острова,百慕大,버뮤다,バミューダ諸島
Bonaire,Bonaire,Bonaire,Bonaire,Bonaire,Bonaire,Bonaire,Bonaire,Бонэйр,博奈尔,보네르 섬,ボネール島
CanaryIslands,CanaryIslands,CanaryIslands,CanaryIslands,CanaryIslands,CanaryIslands,CanaryIslands,CanaryIslands,Канарские острова,加那利群岛,카나리아 제도,カナリア諸島
CaribbeanSea,Caribbean Sea,Mar Caribe,Mar Carib,Caribbean Sea,Caribbean Sea,Caribbean Sea,Caribbean Sea,Карибское море,加勒比海,카리브해,カリブ海
CaymanIslands,Cayman Islands,Islas Caimán,Illes Caiman,Ilhas Cayman,Isole Cayman,Îles Caïmans,Cayman Islands,Острова Кайман,開曼群島,케이맨 제도,ケイマン諸島
Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Curacao,Кюрасао,库拉索,퀴라소,キュラソー島
DominicanRepublic,Dominican Republic,República Dominicana,República Dominicana,República Dominicana,Repubblica Dominicana,République dominicaine,Dominikanische Republik,Доминиканская Республика,多米尼加共和国,도미니카 공화국,ドミニカきょうわこく
Egipte,Egipte,Egipte,Egipte,Egipte,Egipte,Egipte,Egipte,Египет,埃及,이집트,エジプト
Fiji,Fiji,Fiyi,Fiji,Fiji,Figi,Fidji,Fidschi,Фиджи,斐濟,피지,フィジー
GalapagosIslands,Galápagos Islands,Islas Galápagos,Illes Galápagos,Galápagos,Galápagos,Îles Galápagos,Galapagosinseln,Галапагос,科隆群岛,갈라파고스 제도,ガラパゴス諸島
Hawaii,Hawaii,Hawái,Hawaii,Havaí,Hawaii,Hawaï,Hawaii,Гавайи,夏威夷州,하와이주,ハワイ州
Hondures,Hondures,Hondures,Hondures,Hondures,Hondures,Hondures,Hondures,Гондурас,洪都拉斯,온두라스,ホンジェラス
IndianOcean,Inidan Ocean,Oceano Índico,Oceà Índic,Inidan Ocean,Inidan Ocean,Inidan Ocean,Inidan Ocean,Индийский океан,印度洋,인도양,インド洋
Indonesia,Indonesia,Indonesia,Indonèsia,Indonésia,Indonesia,Indonésie,Indonesien,Индонезия,印度尼西亚,인도네시아,インドネシア
Israel,Israel,Israel,Israel,Israel,Israel,Israel,Israel,Израиль,以色列,이스라엘,イスラエル
Jordania,Jordania,Jordania,Jordania,Jordania,Jordania,Jordania,Jordania,Иордания,约旦,요르단,ヨルダン
Madagascar,Madagascar,Madagascar,Madagascar,Madagáscar,Madagascar,Madagascar,Madagaskar,Мадагаскар,马达加斯加,마다가스카르,マダガスカル
Maldives,Maldives,Maldivas,Maldives,Maldivas,Maldive,Maldives,Malediven,Мальдивы,马尔代夫,몰디브,モルディブ
Mauricio,Mauritius,Mauricio,Maurici,Maurícia,Mauritius,Maurice,Mauritius,Маврикий,毛里求斯,모리셔스,モーリシャス
Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico,Мексика,墨西哥,멕시코,キシコ
Micronesia,Micronesia,Micronesia,Micronesia,Micronesia,Micronesia,Micronesia,Micronesia,Микронезия,密克罗尼西亚,미크로네시아,ミクロネシア
NewZealand,New Zealand,Nueva Zelanda,Nova Zelanda,Nova Zelândia,Nuova Zelanda,Nouvelle-Zélande,Neuseeland,Новая Зеландия,新西兰,뉴질랜드,ニュージーランド
PacificOcean,Pacific ocean,Oceano Pacífico,Oceà Pacífic,Pacific ocean,Pacific ocean,Pacific ocean,Pacific ocean,Тихий океан,太平洋,태평양,太平洋
PapuaNewGuinea,PapuaNewGuinea,PapuaNewGuinea,PapuaNewGuinea,PapuaNewGuinea,PapuaNewGuinea,PapuaNewGuinea,PapuaNewGuinea,Папуа — Новая Гвинея,巴布亚新几内亚,파푸아뉴기니,パプアニューギニア
Phillipines,Phillipines,Phillipines,Phillipines,Phillipines,Phillipines,Phillipines,Phillipines,Филиппины,菲律宾,필리핀,フィリピン
Polynesia,Polynesia,Polynesia,Polynesia,Polynesia,Polynesia,Polynesia,Polynesia,Полинезия,玻里尼西亞,폴리네시아,ポリネシア
ReadSea,Read Sea,Mar Rojo,Mar Roig,Read Sea,Read Sea,Read Sea,Read Sea,Красное море,红海,홍해,紅海
SaudiArabia,Saudi Arabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,Саудовская Аравия,沙特阿拉伯,사우디아라비아,サウジアラビア
Seychelles,Seychelles,Seychelles,Seychelles,Seicheles,Seychelles,Seychelles,Seychellen,Сейшельские Острова,塞舌尔,세이셸,セーシェル
SriLanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Шри-Ланка,斯里兰卡,스리랑카,スリランカ
StVincentGrenadines,StVincentGrenadines,StVincentGrenadines,StVincentGrenadines,StVincentGrenadines,StVincentGrenadines,StVincentGrenadines,StVincentGrenadines,Сент-Винсент и Гренадины,圣文森特和格林纳丁斯,세인트빈센트그레나딘,セントビンセント・グレナディーン
Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Sudan,Судан,苏丹,수단,スーダン
Thailand,Thailand,Tailandia,Tailàndia,Tailândia,Thailandia,Thaïlande,Thailand,Таиланд,泰国,태국,タイ王国
TurksCaicos,Turks and Caicos Islands,TurksCaicos,TurksCaicos,TurksCaicos,TurksCaicos,TurksCaicos,TurksCaicos,Теркс и Кайкос,特克斯和凯科斯群岛,터크스 케이커스 제도,タークス・カイコス諸島
Yemen,Yemen,Yemen,Yemen,Yemen,Yemen,Yemen,Yemen,Йемен,也门,예멘,イエメン
AustralianReef,Australian Reef,Arrecife de Australia,Arrecife de Austràlia,Australian Reef,Australian Reef,Australian Reef,Australian Reef,Australian Reef,Australian Reef,Australian Reef,Australian Reef
AustralianWestern,Australian Western,Australia Oriental,Austràlia Oriental,Australian Western,Australian Western,Australian Western,Australian Western,Australian Western,Australian Western,Australian Western,Australian Western
IndoPacificOcean,Indo-Pacific Ocean,Oceano Indo-Pacífico,Oceà Indo-Pacífic,Indo-Pacific Ocean,Indo-Pacific Ocean,Indo-Pacific Ocean,Indo-Pacific Ocean,Indo-Pacific Ocean,Indo-Pacific Ocean,Indo-Pacific Ocean,Indo-Pacific Ocean
Regions,Regions,Regiones,Regions,Regions,Regions,Regions,Regions,Regions,Regions,Regions,Regions
SalomonIsland,SalomonIsland,SalomonIsland,SalomonIsland,SalomonIsland,SalomonIsland,SalomonIsland,SalomonIsland,Соломоновы Острова,SalomonIsland,SalomonIsland,SalomonIsland
Places,Places,Lugares,Llocs,Places,Places,Places,Places,Places,Places,Places,Places
